,0
1396,40
1397,42
1398,44
1399,45
1400,46
1401,45
1402,43
1403,41
1404,39
1405,37
1406,36
1407,36
1408,35
1409,35
1410,35
1411,35
1412,35
1413,35
1414,35
1415,35
1416,36
1417,37
1418,39
1419,40
1420,40
1421,39
1422,37
1423,35
1424,34
1425,33
1426,33
1427,33
1428,33
1429,33
1430,31
1431,28
1432,26
1433,25
1434,26
1435,27
1436,29
1437,29
1438,29
1439,28
1440,29
1441,30
1442,31
1443,31
1444,30
1445,29
1446,28
1447,28
1448,27
1449,27
1450,26
1451,24
1452,23
1453,23
1454,24
1455,26
1456,30
1457,33
1458,36
1459,38
1460,40
1461,43
1462,45
1463,46
1464,47
1465,45
1466,43
1467,41
1468,39
1469,38
1470,38
1471,38
1472,37
1473,36
1474,34
1475,31
1476,30
1477,29
1478,30
1479,32
1480,34
1481,35
1482,36
1483,36
1484,36
1485,36
1486,37
1487,39
1488,40
1489,40
1490,40
1491,38
1492,36
1493,35
1494,34
1495,34
1496,34
1497,34
1498,33
1499,30
1500,29
1501,28
1502,30
1503,34
1504,37
1505,38
1506,37
1507,34
1508,31
1509,29
1510,30
1511,32
1512,33
1513,34
1514,34
1515,34
1516,33
1517,32
1518,31
1519,30
1520,29
1521,28
1522,28
1523,27
1524,27
1525,27
1526,29
1527,31
1528,33
1529,36
1530,38
1531,38
1532,38
1533,37
1534,36
1535,36
1536,35
1537,35
1538,34
1539,34
1540,34
1541,34
1542,33
1543,32
1544,31
1545,30
1546,30
1547,29
1548,29
1549,28
1550,27
1551,26
1552,27
1553,30
1554,33
1555,37
1556,40
1557,41
1558,42
1559,41
1560,40
1561,38
1562,37
1563,36
1564,36
1565,36
1566,36
1567,36
1568,35
1569,33
1570,31
1571,30
1572,31
1573,33
1574,36
1575,38
1576,38
1577,37
1578,34
1579,31
1580,29
1581,27
1582,27
1583,26
1584,26
1585,25
1586,23
1587,21
1588,19
1589,18
1590,19
1591,21
1592,24
1593,28
1594,32
1595,34
1596,36
1597,37
1598,38
1599,39
1600,40
1601,43
1602,45
1603,46
1604,47
1605,46
1606,45
1607,45
1608,45
1609,46
1610,47
1611,47
1612,46
1613,44
1614,42
1615,40
1616,40
1617,41
1618,43
1619,45
1620,46
1621,46
1622,44
1623,42
1624,39
1625,37
1626,36
1627,35
1628,35
1629,35
1630,34
1631,31
1632,27
1633,23
1634,20
1635,21
1636,25
1637,29
1638,33
1639,34
1640,33
1641,31
1642,30
1643,29
1644,29
1645,30
1646,30
1647,29
1648,27
1649,25
1650,22
1651,21
1652,22
1653,23
1654,25
1655,26
1656,28
1657,29
1658,31
1659,32
1660,32
1661,30
1662,27
1663,25
1664,24
1665,24
1666,26
1667,29
1668,30
1669,31
1670,31
1671,31
1672,32
1673,33
1674,34
1675,34
1676,33
1677,31
1678,30
1679,30
1680,33
1681,37
1682,42
1683,48
1684,51
1685,54
1686,54
1687,54
1688,52
1689,50
1690,48
1691,45
1692,43
1693,40
1694,38
1695,37
1696,37
1697,36
1698,35
1699,33
1700,31
1701,28
1702,26
1703,24
1704,23
1705,23
1706,23
1707,24
1708,24
1709,24
1710,22
1711,18
1712,15
1713,14
1714,15
1715,19
1716,22
1717,25
1718,26
1719,26
1720,25
1721,27
1722,30
1723,35
1724,39
1725,41
1726,41
1727,38
1728,36
1729,34
1730,33
1731,34
1732,36
1733,37
1734,39
1735,39
1736,40
1737,41
1738,42
1739,42
1740,41
1741,39
1742,37
1743,36
1744,37
1745,40
1746,43
1747,46
1748,47
1749,47
1750,45
1751,43
1752,42
1753,41
1754,40
1755,40
1756,38
1757,37
1758,36
1759,35
1760,35
1761,35
1762,34
1763,33
1764,32
1765,30
1766,28
1767,27
1768,25
1769,23
1770,22
1771,23
1772,27
1773,31
1774,33
1775,32
1776,29
1777,27
1778,26
1779,26
1780,26
1781,27
1782,26
1783,25
1784,26
1785,27
1786,29
1787,31
1788,33
1789,33
1790,33
1791,33
1792,33
1793,33
1794,33
1795,34
1796,35
1797,37
1798,38
1799,38
1800,39
1801,39
1802,39
1803,40
1804,40
1805,40
1806,39
1807,38
1808,37
1809,37
1810,39
1811,41
1812,43
1813,43
1814,41
1815,40
1816,39
1817,39
1818,39
1819,39
1820,39
1821,38
1822,36
1823,34
1824,32
1825,30
1826,29
1827,29
1828,29
1829,29
1830,29
1831,26
1832,23
1833,18
1834,15
1835,16
1836,20
1837,26
1838,30
1839,32
1840,29
1841,26
1842,23
1843,23
1844,25
1845,28
1846,31
1847,32
1848,32
1849,32
1850,31
1851,30
1852,30
1853,30
1854,31
1855,31
1856,32
1857,31
1858,31
1859,31
1860,32
1861,36
1862,41
1863,47
1864,51
1865,53
1866,53
1867,51
1868,49
1869,47
1870,46
1871,46
1872,45
1873,44
1874,42
1875,40
1876,40
1877,41
1878,42
1879,43
1880,43
1881,42
1882,41
1883,42
1884,42
1885,43
1886,43
1887,42
1888,39
1889,36
1890,33
1891,31
1892,31
1893,32
1894,31
1895,28
1896,25
1897,22
1898,23
1899,26
1900,29
1901,30
1902,25
1903,17
1904,10
1905,7
1906,10
1907,18
1908,25
1909,30
1910,31
1911,30
1912,28
1913,27
1914,26
1915,27
1916,28
1917,28
1918,29
1919,29
1920,28
1921,28
1922,28
1923,28
1924,29
1925,30
1926,31
1927,31
1928,33
1929,35
1930,39
1931,43
1932,47
1933,49
1934,50
1935,48
1936,46
1937,43
1938,41
1939,39
1940,38
1941,37
1942,36
1943,36
1944,35
1945,35
1946,36
1947,37
1948,39
1949,39
1950,40
1951,40
1952,39
1953,38
1954,37
1955,37
1956,36
1957,35
1958,34
1959,32
1960,30
1961,29
1962,28
1963,28
1964,27
1965,26
1966,24
1967,22
1968,21
1969,23
1970,26
1971,30
1972,32
1973,29
1974,23
1975,16
1976,11
1977,11
1978,14
1979,19
1980,23
1981,26
1982,26
1983,27
1984,27
1985,28
1986,30
1987,32
1988,33
1989,33
1990,33
1991,32
1992,33
1993,35
1994,37
1995,39
1996,41
1997,42
1998,42
1999,41
2000,43
2001,45
2002,49
2003,52
2004,54
2005,53
2006,50
2007,47
2008,44
2009,42
2010,41
2011,41
2012,40
2013,38
2014,36
2015,34
2016,34
2017,35
2018,36
2019,37
2020,38
2021,39
2022,40
2023,40
2024,40
2025,40
2026,39
2027,39
2028,38
2029,37
2030,35
2031,33
2032,32
2033,32
2034,31
2035,31
2036,29
2037,27
2038,25
2039,24
2040,23
2041,23
2042,22
2043,20
2044,19
2045,19
2046,21
2047,23
2048,24
2049,22
2050,19
2051,16
2052,15
2053,16
2054,19
2055,23
2056,28
2057,30
2058,31
2059,30
2060,28
2061,27
2062,28
2063,30
2064,33
2065,37
2066,39
2067,41
2068,43
2069,46
2070,50
2071,54
2072,57
2073,57
2074,55
2075,51
2076,47
2077,43
2078,41
2079,40
2080,39
2081,38
2082,36
2083,34
2084,34
2085,34
2086,36
2087,38
2088,39
2089,41
2090,42
2091,42
2092,43
2093,42
2094,42
2095,41
2096,40
2097,39
2098,38
2099,37
2100,35
2101,33
2102,31
2103,28
2104,25
2105,24
2106,24
2107,25
2108,24
2109,22
2110,18
2111,14
2112,14
2113,17
2114,21
2115,23
2116,22
2117,19
2118,16
2119,15
2120,15
2121,15
2122,15
2123,15
2124,17
2125,20
2126,25
2127,29
2128,31
2129,33
2130,34
2131,36
2132,40
2133,44
2134,48
2135,51
2136,52
2137,51
2138,51
2139,50
2140,50
2141,50
2142,50
2143,49
2144,47
2145,45
2146,43
2147,40
2148,38
2149,35
2150,32
2151,31
2152,31
2153,32
2154,33
2155,35
2156,37
2157,37
2158,37
2159,36
2160,35
2161,35
2162,34
2163,33
2164,32
2165,32
2166,31
2167,32
2168,33
2169,33
2170,33
2171,31
2172,29
2173,28
2174,26
2175,26
2176,26
2177,26
2178,27
2179,29
2180,32
2181,33
2182,32
2183,30
2184,26
2185,22
2186,20
2187,20
2188,20
2189,21
2190,22
2191,22
2192,22
2193,24
2194,27
2195,31
2196,34
2197,37
2198,39
2199,40
2200,42
2201,44
2202,47
2203,50
2204,51
2205,51
2206,50
2207,49
2208,49
2209,48
2210,47
2211,46
2212,43
2213,40
2214,37
2215,35
2216,34
2217,35
2218,37
2219,39
2220,41
2221,43
2222,43
2223,43
2224,43
2225,43
2226,44
2227,45
2228,44
2229,43
2230,42
2231,40
2232,39
2233,39
2234,38
2235,36
2236,34
2237,33
2238,31
2239,30
2240,27
2241,22
2242,16
2243,11
2244,11
2245,16
2246,25
2247,34
2248,37
2249,34
2250,29
2251,23
2252,20
2253,20
2254,22
2255,23
2256,25
2257,26
2258,26
2259,27
2260,27
2261,26
2262,24
2263,22
2264,20
2265,18
2266,17
2267,18
2268,20
2269,23
2270,27
2271,32
2272,37
2273,40
2274,43
2275,45
2276,45
2277,43
2278,40
2279,36
2280,33
2281,31
2282,30
2283,33
2284,37
2285,42
2286,47
2287,49
2288,50
2289,49
2290,48
2291,47
2292,47
2293,46
2294,46
2295,45
2296,43
2297,42
2298,41
2299,40
2300,39
2301,39
2302,38
2303,37
2304,34
2305,32
2306,29
2307,28
2308,28
2309,28
2310,27
2311,25
2312,22
2313,20
2314,21
2315,23
2316,26
2317,28
2318,31
2319,32
2320,34
2321,36
2322,37
2323,37
2324,38
2325,40
2326,42
2327,46
2328,49
2329,52
2330,53
2331,51
2332,47
2333,41
2334,35
2335,28
2336,22
2337,18
2338,16
2339,16
2340,17
2341,20
2342,24
2343,27
2344,29
2345,30
2346,29
2347,28
2348,26
2349,25
2350,25
2351,27
2352,29
2353,32
2354,35
2355,37
2356,39
2357,39
2358,39
2359,39
2360,39
2361,38
2362,38
2363,38
2364,39
2365,39
2366,38
2367,38
2368,36
2369,35
2370,34
2371,32
2372,31
2373,29
2374,29
2375,29
2376,29
2377,29
2378,29
2379,27
2380,27
2381,28
2382,31
2383,36
2384,39
2385,40
2386,38
2387,34
2388,31
2389,29
2390,28
2391,27
2392,28
2393,28
2394,28
2395,29
2396,30
2397,32
2398,35
2399,36
2400,35
2401,34
2402,31
2403,29
2404,27
2405,27
2406,27
2407,28
2408,29
2409,31
2410,34
2411,37
2412,40
2413,41
2414,41
2415,40
2416,39
2417,39
2418,39
2419,39
2420,40
2421,41
2422,42
2423,44
2424,46
2425,46
2426,45
2427,44
2428,43
2429,42
2430,42
2431,41
2432,41
2433,39
2434,38
2435,36
2436,35
2437,34
2438,33
2439,33
2440,33
2441,32
2442,32
2443,30
2444,29
2445,27
2446,27
2447,27
2448,28
2449,30
2450,31
2451,32
2452,29
2453,24
2454,17
2455,11
2456,8
2457,10
2458,15
2459,20
2460,23
2461,22
2462,18
2463,13
2464,9
2465,9
2466,12
2467,18
2468,26
2469,33
2470,38
2471,41
2472,42
2473,41
2474,41
2475,41
2476,42
2477,43
2478,45
2479,46
2480,48
2481,49
2482,50
2483,51
2484,52
2485,51
2486,50
2487,49
2488,48
2489,47
2490,45
2491,44
2492,42
2493,40
2494,38
2495,36
2496,34
2497,33
2498,33
2499,33
2500,33
2501,31
2502,28
2503,25
2504,24
2505,26
2506,30
2507,35
2508,40
2509,42
2510,41
2511,39
2512,35
2513,33
2514,31
2515,31
2516,31
2517,32
2518,32
2519,32
2520,31
2521,30
2522,29
2523,27
2524,26
2525,24
2526,23
2527,23
2528,24
2529,25
2530,28
2531,30
2532,33
2533,35
2534,38
2535,40
2536,41
2537,42
2538,43
2539,43
2540,43
2541,42
2542,41
2543,38
2544,35
2545,32
2546,30
2547,29
2548,30
2549,32
2550,34
2551,37
2552,38
2553,38
2554,38
2555,37
2556,36
2557,35
2558,35
2559,35
2560,34
2561,33
2562,32
2563,31
2564,30
2565,29
2566,30
2567,31
2568,32
2569,32
2570,30
2571,28
2572,27
2573,27
2574,28
2575,31
2576,34
2577,36
2578,36
2579,36
2580,35
2581,34
2582,32
2583,29
2584,27
2585,25
2586,24
2587,24
2588,25
2589,25
2590,25
2591,25
2592,24
2593,23
2594,23
2595,24
2596,26
2597,30
2598,34
2599,39
2600,42
2601,42
2602,41
2603,39
2604,37
2605,35
2606,34
2607,33
2608,32
2609,31
2610,31
2611,32
2612,34
2613,37
2614,39
2615,41
2616,41
2617,41
2618,41
2619,40
2620,38
2621,36
2622,35
2623,34
2624,34
2625,34
2626,35
2627,36
2628,36
2629,36
2630,35
2631,34
2632,34
2633,34
2634,36
2635,38
2636,39
2637,37
2638,34
2639,31
2640,29
2641,29
2642,31
2643,33
2644,34
2645,32
2646,28
2647,24
2648,22
2649,22
2650,23
2651,23
2652,22
2653,22
2654,22
2655,25
2656,29
2657,32
2658,34
2659,34
2660,32
2661,30
2662,29
2663,30
2664,33
2665,38
2666,43
2667,48
2668,52
2669,55
2670,57
2671,57
2672,57
2673,55
2674,53
2675,51
2676,49
2677,48
2678,47
2679,46
2680,44
2681,41
2682,39
2683,37
2684,36
2685,36
2686,36
2687,35
2688,35
2689,35
2690,35
2691,35
2692,35
2693,34
2694,33
2695,32
2696,31
2697,30
2698,30
2699,31
2700,31
2701,30
2702,28
2703,26
2704,24
2705,24
2706,25
2707,27
2708,29
2709,30
2710,30
2711,28
2712,25
2713,22
2714,18
2715,15
2716,13
2717,12
2718,14
2719,17
2720,21
2721,24
2722,27
2723,28
2724,29
2725,28
2726,28
2727,27
2728,26
2729,26
2730,27
2731,30
2732,35
2733,40
2734,45
2735,47
2736,48
2737,47
2738,45
2739,43
2740,41
2741,39
2742,39
2743,38
2744,38
2745,39
2746,39
2747,40
2748,41
2749,42
2750,42
2751,41
2752,40
2753,40
2754,41
2755,43
2756,45
2757,46
2758,47
2759,46
2760,45
2761,43
2762,41
2763,39
2764,38
2765,36
2766,35
2767,33
2768,31
2769,28
2770,25
2771,23
2772,23
2773,25
2774,28
2775,30
2776,32
2777,31
2778,29
2779,26
2780,23
2781,21
2782,19
2783,19
2784,20
2785,21
2786,22
2787,22
2788,22
2789,22
2790,22
2791,22
2792,24
2793,26
2794,29
2795,32
2796,34
2797,36
2798,36
2799,36
2800,37
2801,39
2802,42
2803,45
2804,47
2805,47
2806,46
2807,44
2808,42
2809,40
2810,39
2811,39
2812,39
2813,38
2814,38
2815,39
2816,39
2817,40
2818,41
2819,42
2820,42
2821,41
2822,41
2823,40
2824,40
2825,40
2826,39
2827,39
2828,37
2829,35
2830,32
2831,30
2832,28
2833,28
2834,27
2835,26
2836,25
2837,23
2838,22
2839,22
2840,25
2841,28
2842,29
2843,27
2844,22
2845,17
2846,15
2847,17
2848,21
2849,25
2850,28
2851,27
2852,26
2853,25
2854,25
2855,25
2856,26
2857,26
2858,26
2859,25
2860,26
2861,27
2862,28
2863,30
2864,30
2865,30
2866,30
2867,31
2868,34
2869,38
2870,43
2871,47
2872,50
2873,52
2874,52
2875,50
2876,47
2877,44
2878,41
2879,39
2880,38
2881,38
2882,38
2883,37
2884,36
2885,35
2886,35
2887,36
2888,37
2889,38
2890,39
2891,38
2892,38
2893,37
2894,37
2895,36
2896,36
2897,35
2898,34
2899,33
2900,33
2901,32
2902,32
2903,32
2904,33
2905,33
2906,33
2907,31
2908,29
2909,27
2910,26
2911,25
2912,24
2913,24
2914,23
2915,22
2916,22
2917,22
2918,23
2919,24
2920,25
2921,26
2922,26
2923,25
2924,25
2925,25
2926,27
2927,28
2928,30
2929,32
2930,33
2931,34
2932,35
2933,35
2934,35
2935,35
2936,37
2937,41
2938,47
2939,53
2940,57
2941,60
2942,59
2943,56
2944,51
2945,47
2946,42
2947,39
2948,37
2949,37
2950,37
2951,36
2952,36
2953,35
2954,35
2955,37
2956,38
2957,41
2958,43
2959,45
2960,46
2961,45
2962,44
2963,42
2964,40
2965,38
2966,37
2967,36
2968,35
2969,35
2970,34
2971,33
2972,30
2973,27
2974,25
2975,25
2976,25
2977,26
2978,25
2979,23
2980,21
2981,21
2982,23
2983,26
2984,28
2985,26
2986,21
2987,16
2988,13
2989,13
2990,16
2991,21
2992,25
2993,28
2994,29
2995,29
2996,29
